Component,Purpose,Key Files,Tech,Inputs,Outputs,Business Impact
Backend API,FastAPI app exposing /ui /ingest /ask,"backend/app.py",FastAPI+Uvicorn,HTTP requests,JSON responses,"Enables RAG interactions via simple endpoints"
Ingest Pipeline,Load a PDF and split into chunks,"backend/rag/loader.py; backend/rag/splitter.py","PyPDFLoader; RecursiveCharacterTextSplitter","PDF path","Document chunks","Prepares document corpus for retrieval"
Embeddings,Turn chunks into dense vectors,"backend/rag/embeddings.py; backend/config.py","sentence-transformers or OpenAI","Chunks","Embedding vectors","Foundation for semantic search"
Vector Store,Persist and query embeddings,"backend/rag/vector_store.py","ChromaDB","Vectors / retriever","Persisted index","Fast retrieval and reproducibility"
RAG Chain,Retrieve context and generate answer,"backend/rag/chain.py","LangChain PromptTemplate + LLM","Query + retriever","Answer + source docs","Grounded, context-aware responses"
Prompt Template,Control answer style and scope,"backend/utils/prompt_template.py","Template string","Context + question","Prompt text","Concise actionable answers"
Session Memory,Lightweight chat history,"backend/utils/memory.py","In-memory dict","Messages","History list","Basic conversational continuity"
Frontend UI,Single-page web interface,"frontend/index.html; frontend/css/style.css; frontend/js/script.js","HTML/CSS/JS","User input","Rendered chat","Simple UX to ingest and ask"
Multi-Question Support,Ask many questions in one submit,"frontend/js/script.js","Sequential fetch requests","Newline/; separated questions","Multiple answers","Speeds exploration and comparison"
Bottom Ask Bar,Fixed input at bottom for chat,"frontend/index.html; frontend/css/style.css","CSS fixed layout","User questions","Improved chat ergonomics","WhatsApp-like experience"
Tests,Basic unit tests for generator,"tests/test_generator.py","unittest","N/A","OK status","Baseline quality check"
Configuration,Environment-driven settings,"backend/config.py",".env variables","Keys and flags","LLM/embedding toggles","Flexible deployment (local/OpenAI)"
Run Commands,Start server locally,N/A,"Uvicorn","N/A","http://localhost:8080/ui","One-command local run"
